step,left_arm_j1,left_arm_j2,left_arm_j3,left_arm_j4,left_arm_j5,left_arm_j6,left_arm_j7,right_arm_j1,right_arm_j2,right_arm_j3,right_arm_j4,right_arm_j5,right_arm_j6,right_arm_j7,left_hand_j1,left_hand_j2,left_hand_j3,left_hand_j4,left_hand_j5,left_hand_j6,right_hand_j1,right_hand_j2,right_hand_j3,right_hand_j4,right_hand_j5,right_hand_j6
10,-0.10979866131217147,-1.3739580958855049,-1.114863947121658,-0.9959721136821144,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.4075518307037187,-1.4271732476294139,0.32536428261889233,-1.000911411976857,-1.9037352720547331,0.9438740914364665,2.3397185777924605,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
11,-0.10976375725713464,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590987795080824,0.5916491327735214,0.4295080625737952,-1.4271207833559392,0.3253468389137523,-1.0275451534065214,-1.9326554704382852,0.9443976689067761,2.3398059294762152,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
12,-0.10976375725713464,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.4470835276087459,-1.4271207833559392,0.32531191821395866,-1.0457140373113691,-1.9526219880789362,0.9441533238767613,2.339858127433581,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
13,-0.10976375725713464,-1.373940652180365,-1.114829059711378,-0.9959721136821144,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.46129052662842346,-1.4271033396507993,0.325259553809025,-1.0585596616713118,-1.9757126599943593,0.9435424613017244,2.339893014843861,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
14,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960245113765617,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.4754102405433737,-1.4270684522405193,0.32529447450881865,-1.0761351267062624,-2.0003218663633455,0.9435773487120044,2.3399105917070555,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
15,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916491327735214,0.48832567301339014,-1.4271033396507993,0.32531191821395866,-1.086118385526588,-2.017583144968694,0.9436297464064517,2.3399803665276155,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
16,-0.10976375725713464,-1.373975539590645,-1.114863947121658,-0.9959721136821144,0.2865307001041158,-0.5590987795080824,0.5916666430576886,0.5003335334734211,-1.4270684522405193,0.325259553809025,-1.0931869476918763,-2.031022254777561,0.943455176196997,2.3399803665276155,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
17,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.510229540478533,-1.4270335648302392,0.32524211010388493,-1.1032750019010964,-2.04276825992341,0.9433504473871297,2.3399803665276155,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
18,-0.10976375725713464,-1.373975539590645,-1.114863947121658,-0.9960070676714217,0.28651325639897574,-0.5590813358029424,0.5917015304679687,0.5190085511434382,-1.4269986774199592,0.325259553809025,-1.1188083550121743,-2.051948708833131,0.943420288786717,2.33999794339081,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
19,-0.10976375725713464,-1.3739580958855049,-1.114863947121658,-0.9960070676714217,0.2865307001041158,-0.5590987795080824,0.5916666430576886,0.5302135684033513,-1.4270335648302392,0.32524211010388493,-1.1259817125663574,-2.0672726709035016,0.9433155599768497,2.34003283080109,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
